!Series_title	"Explore the role of RHAMM in invasion/metastasis of breast cancer"
!Series_geo_accession	"GSE224883"
!Series_status	"Public on Mar 17 2023"
!Series_submission_date	"Feb 08 2023"
!Series_last_update_date	"Mar 19 2023"
!Series_summary	"To understand the mechanism of breast cancer invasion and metastasis, we collected tumor tissue from a cohort of 120 breast cancer patients and performed a Nanostring gene profiling assay (26 cases were removed from further analysis during quality control). Differential gene expression (DGE) analysis was done by comparing patients with/without lymph node metastasis lymph nodes. To explore the role of RHAMM in breast cancer invasion and metastasis, we created an RHAMM Related Signature (RRS) by intersecting the top 50 genes with another DGE list generated from a murine model wherein overexpression of an oncogenic RHAMM isoform increased cell motility in vivo tumor engraftment, and metastasis to identify RHAMM-related transcriptome changes specifically."
!Series_overall_design	"We designed a custom Nanostring nCounter assay for quantitative assessment of expression of 356 genes consisting of TME interactions, inflammatory signaling, steroid receptor and growth factor signaling, cell cycle, apoptosis, and DNA repair, plus PAM50 classifier genes. A total of 26 cases were excluded for data analysis during quality control step."
!Series_type	"Expression profiling by array"
!Series_contributor	"Andrew,C,Nelson"
!Series_contributor	"Todd,P,Knutson"
!Series_contributor	"Yuyu,,He"
!Series_sample_id	"GSM7034918 GSM7034919 GSM7034920 GSM7034921 GSM7034922 GSM7034923 GSM7034924 GSM7034925 GSM7034926 GSM7034927 GSM7034928 GSM7034929 GSM7034930 GSM7034931 GSM7034932 GSM7034933 GSM7034934 GSM7034935 GSM7034936 GSM7034937 GSM7034938 GSM7034939 GSM7034940 GSM7034941 GSM7034942 GSM7034943 GSM7034944 GSM7034945 GSM7034946 GSM7034947 GSM7034948 GSM7034949 GSM7034950 GSM7034951 GSM7034952 GSM7034953 GSM7034954 GSM7034955 GSM7034956 GSM7034957 GSM7034958 GSM7034959 GSM7034960 GSM7034961 GSM7034962 GSM7034963 GSM7034964 GSM7034965 GSM7034966 GSM7034967 GSM7034968 GSM7034969 GSM7034970 GSM7034971 GSM7034972 GSM7034973 GSM7034974 GSM7034975 GSM7034976 GSM7034977 GSM7034978 GSM7034979 GSM7034980 GSM7034981 GSM7034982 GSM7034983 GSM7034984 GSM7034985 GSM7034986 GSM7034987 GSM7034988 GSM7034989 GSM7034990 GSM7034991 GSM7034992 GSM7034993 GSM7034994 GSM7034995 GSM7034996 GSM7034997 GSM7034998 GSM7034999 GSM7035000 GSM7035001 GSM7035002 GSM7035003 GSM7035004 GSM7035005 GSM7035006 GSM7035007 GSM7035008 GSM7035009 GSM7035010 GSM7035011 "
!Series_contact_name	"Andrew,C,Nelson"
!Series_contact_institute	"University of Minnesota"
!Series_contact_address	"420 Delaware St SE"
!Series_contact_city	"Minneapolis"
!Series_contact_state	"Minnesota"
!Series_contact_zip/postal_code	"55455"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224883/suppl/GSE224883_RAW.tar"
!Series_platform_id	"GPL33108"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA932850"

!Sample_title	"sample_18"	"sample_19"	"sample_20"	"sample_21"	"sample_22"	"sample_23"	"sample_25"	"sample_26"	"sample_27"	"sample_29"	"sample_30"	"sample_32"	"sample_33"	"sample_36"	"sample_37"	"sample_38"	"sample_40"	"sample_42"	"sample_43"	"sample_44"	"sample_45"	"sample_46"	"sample_48"	"sample_50"	"sample_51"	"sample_52"	"sample_53"	"sample_54"	"sample_55"	"sample_57"	"sample_58"	"sample_59"	"sample_60"	"sample_61"	"sample_63"	"sample_64"	"sample_65"	"sample_66"	"sample_67"	"sample_68"	"sample_70"	"sample_72"	"sample_74"	"sample_76"	"sample_77"	"sample_79"	"sample_80"	"sample_81"	"sample_85"	"sample_87"	"sample_88"	"sample_91"	"sample_92"	"sample_93"	"sample_94"	"sample_95"	"sample_96"	"sample_97"	"sample_99"	"sample_102"	"sample_105"	"sample_106"	"sample_109"	"sample_110"	"sample_111"	"sample_113"	"sample_114"	"sample_115"	"sample_116"	"sample_117"	"sample_118"	"sample_119"	"sample_120"	"sample_121"	"sample_122"	"sample_123"	"sample_124"	"sample_125"	"sample_127"	"sample_128"	"sample_130"	"sample_132"	"sample_133"	"sample_135"	"sample_136"	"sample_137"	"sample_138"	"sample_139"	"sample_140"	"sample_142"	"sample_143"	"sample_149"	"sample_152"	"sample_154"
!Sample_geo_accession	"GSM7034918"	"GSM7034919"	"GSM7034920"	"GSM7034921"	"GSM7034922"	"GSM7034923"	"GSM7034924"	"GSM7034925"	"GSM7034926"	"GSM7034927"	"GSM7034928"	"GSM7034929"	"GSM7034930"	"GSM7034931"	"GSM7034932"	"GSM7034933"	"GSM7034934"	"GSM7034935"	"GSM7034936"	"GSM7034937"	"GSM7034938"	"GSM7034939"	"GSM7034940"	"GSM7034941"	"GSM7034942"	"GSM7034943"	"GSM7034944"	"GSM7034945"	"GSM7034946"	"GSM7034947"	"GSM7034948"	"GSM7034949"	"GSM7034950"	"GSM7034951"	"GSM7034952"	"GSM7034953"	"GSM7034954"	"GSM7034955"	"GSM7034956"	"GSM7034957"	"GSM7034958"	"GSM7034959"	"GSM7034960"	"GSM7034961"	"GSM7034962"	"GSM7034963"	"GSM7034964"	"GSM7034965"	"GSM7034966"	"GSM7034967"	"GSM7034968"	"GSM7034969"	"GSM7034970"	"GSM7034971"	"GSM7034972"	"GSM7034973"	"GSM7034974"	"GSM7034975"	"GSM7034976"	"GSM7034977"	"GSM7034978"	"GSM7034979"	"GSM7034980"	"GSM7034981"	"GSM7034982"	"GSM7034983"	"GSM7034984"	"GSM7034985"	"GSM7034986"	"GSM7034987"	"GSM7034988"	"GSM7034989"	"GSM7034990"	"GSM7034991"	"GSM7034992"	"GSM7034993"	"GSM7034994"	"GSM7034995"	"GSM7034996"	"GSM7034997"	"GSM7034998"	"GSM7034999"	"GSM7035000"	"GSM7035001"	"GSM7035002"	"GSM7035003"	"GSM7035004"	"GSM7035005"	"GSM7035006"	"GSM7035007"	"GSM7035008"	"GSM7035009"	"GSM7035010"	"GSM7035011"
!Sample_status	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"	"Public on Mar 17 2023"
!Sample_submission_date	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"	"Feb 08 2023"
!Sample_last_update_date	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"	"Mar 17 2023"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"	"Patient tumor tissue"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
